iter	Logloss
0	0.6748492677
1	0.6590129132
2	0.6428800766
3	0.6293876765
4	0.6166722549
5	0.6045220071
6	0.5927817548
7	0.5832037912
8	0.5728893658
9	0.5635920606
10	0.5554977684
11	0.5478302867
12	0.539701158
13	0.5336212576
14	0.5283521906
15	0.522622971
16	0.5172711951
17	0.5117444052
18	0.5068968933
19	0.5021235888
20	0.4973342219
21	0.4930416003
22	0.4895130715
23	0.486347382
24	0.4833920717
25	0.4800352726
26	0.477661962
27	0.4748606314
28	0.4719086372
29	0.4701018309
30	0.4679245397
31	0.4652366938
32	0.462800038
33	0.4621698154
34	0.4599140093
35	0.4583926994
36	0.4564337882
37	0.4549987004
38	0.4535131498
39	0.4522405366
40	0.4511586353
41	0.449891741
42	0.4487212192
43	0.4477340885
44	0.4471205598
45	0.4462690256
46	0.4448642408
47	0.4438775788
48	0.4435824223
49	0.443295737
50	0.4424106182
51	0.442033132
52	0.441288318
53	0.4408951255
54	0.4402454071
55	0.4397977938
56	0.4389888788
57	0.4384171958
58	0.4377088357
59	0.4372144511
60	0.4366041627
61	0.4359165675
62	0.4354652147
63	0.4348341688
64	0.4345704344
65	0.4344180012
66	0.434159697
67	0.4335531206
68	0.4331748826
69	0.4326583461
70	0.4321984678
71	0.4320623438
72	0.4319283996
73	0.4316082139
74	0.4314142001
75	0.4305985435
76	0.4304320435
77	0.4300884428
78	0.4298008194
79	0.4296777967
80	0.4295446218
81	0.4293157071
82	0.4290021982
83	0.4283592533
84	0.4280713118
85	0.4277915304
86	0.4276176253
87	0.4271379597
88	0.4269980421
89	0.4267530015
90	0.4266287523
91	0.4265002514
92	0.4263275356
93	0.4258766616
94	0.4256828445
95	0.4254360041
96	0.4251156771
97	0.4250083412
98	0.4248935846
99	0.4247958866
100	0.4246815148
101	0.424550375
102	0.4244870106
103	0.4241538695
104	0.4240657514
105	0.4239110747
106	0.4238157986
107	0.4234859201
108	0.4232456345
109	0.4232036486
110	0.423001555
111	0.4227886706
112	0.4226806915
113	0.4225886371
114	0.4224901376
115	0.4224024257
116	0.4223397995
117	0.4222521104
118	0.4220749828
119	0.4219704418
120	0.4218899394
121	0.4217590168
122	0.4216998152
123	0.4216239741
124	0.4215258888
125	0.421288492
126	0.4211773585
127	0.4210423704
128	0.4208970571
129	0.4208335005
130	0.4207820017
131	0.4206545014
132	0.4205517977
133	0.4204453495
134	0.4203299426
135	0.4202561479
136	0.4201177891
137	0.4199726215
138	0.4198094183
139	0.4197566759
140	0.4197276402
141	0.4196932547
142	0.4195226728
143	0.4194404618
144	0.4193818978
145	0.4193000963
146	0.419225415
147	0.4191436113
148	0.419052328
149	0.418977513
150	0.4188862949
151	0.4187480471
152	0.4187061583
153	0.4185806424
154	0.4184979024
155	0.4183164711
156	0.4180928958
157	0.418073597
158	0.417966305
159	0.4178772636
160	0.4178317669
161	0.4177393298
162	0.417719715
163	0.417644804
164	0.4174461244
165	0.4173341066
166	0.417231731
167	0.4171591764
168	0.4170271653
169	0.4169852177
170	0.416829442
171	0.4167798
172	0.4166923269
173	0.4166576574
174	0.4165587738
175	0.4164305709
176	0.416356633
177	0.4161851655
178	0.416162665
179	0.4161246965
180	0.4161063018
181	0.4160592168
182	0.4159877041
183	0.4159629562
184	0.4159253533
185	0.415886336
186	0.4158503061
187	0.4156400224
188	0.4155774007
189	0.4154801485
190	0.4154484484
191	0.4154043444
192	0.4153704254
193	0.4153238104
194	0.4151955603
195	0.4151629998
196	0.4150314735
197	0.4149978445
198	0.4148987954
199	0.4148455507
200	0.4146747459
201	0.4146313767
202	0.4145644783
203	0.4144660816
204	0.4143413433
205	0.4143291928
206	0.4142851693
207	0.4142693277
208	0.4141876169
209	0.4140733338
210	0.4140358974
211	0.4140115235
212	0.4139967051
213	0.4139361017
214	0.4138708711
215	0.413774811
216	0.4137088851
217	0.4136636696
218	0.4136174425
219	0.4134895339
220	0.4134433856
221	0.4133817476
222	0.4133284316
223	0.4132533719
224	0.4132159606
225	0.413184786
226	0.4131764092
227	0.4131709349
228	0.4131378192
229	0.4130374511
230	0.4130079558
231	0.4129813854
232	0.412940099
233	0.4128956735
234	0.412761204
235	0.4126197856
236	0.4125822872
237	0.4123958372
238	0.4123826371
239	0.4123531096
240	0.4123124063
241	0.4122571641
242	0.4122369651
243	0.4121902631
244	0.4119934325
245	0.411945518
246	0.4119039882
247	0.4118676433
248	0.4117990076
249	0.4116427515
250	0.4116028823
251	0.4114367552
252	0.4113719156
253	0.4111924789
254	0.4111571317
255	0.411100474
256	0.4110478755
257	0.4110117775
258	0.4109622329
259	0.4109396566
260	0.4108709276
261	0.4108192929
262	0.4107097701
263	0.410661199
264	0.4106473826
265	0.4105731852
266	0.4105648947
267	0.4105055188
268	0.4104932175
269	0.4104211355
270	0.4103442793
271	0.410329944
272	0.4103091314
273	0.4102955703
274	0.4101903645
275	0.4101535906
276	0.4101150819
277	0.410098629
278	0.410067514
279	0.4099653284
280	0.4099246171
281	0.4098369015
282	0.4097661034
283	0.4096968098
284	0.4095804058
285	0.4095170496
286	0.4094980229
287	0.4094352003
288	0.4093297165
289	0.4092331696
290	0.4091388362
291	0.4090984778
292	0.4090296335
293	0.4089746569
294	0.4089290111
295	0.4088967267
296	0.4088875034
297	0.4088087963
298	0.4087492211
299	0.4086740336
300	0.4086097763
301	0.4085951667
302	0.4085614558
303	0.4085249574
304	0.4084783914
305	0.4084708274
306	0.4083606463
307	0.4083308199
308	0.4082833729
309	0.4082717466
310	0.408223942
311	0.408178636
312	0.4080839162
313	0.4080745645
314	0.4079931165
315	0.407872168
316	0.4078492877
317	0.407810874
318	0.4077581192
319	0.4077184082
320	0.4077146695
321	0.4076950404
322	0.40760898
323	0.4075411924
324	0.4074461707
325	0.4074193128
326	0.40735974
327	0.4073266069
328	0.4072664851
329	0.4072525454
330	0.4072041996
331	0.4070323736
332	0.4069590929
333	0.4068863711
334	0.4068398246
335	0.4067570189
336	0.4067176008
337	0.4066475258
338	0.4065752591
339	0.4065305201
340	0.4064760634
341	0.4064595634
342	0.4064429201
343	0.4063622088
344	0.4062627368
345	0.4061159706
346	0.4060821509
347	0.4060545323
348	0.4060463374
