iter	Passed	Remaining
0	56	55957
1	108	54092
2	160	53213
3	219	54771
4	300	59889
5	371	61605
6	436	61897
7	509	63227
8	572	63051
9	634	62856
10	695	62539
11	743	61187
12	808	61381
13	866	61049
14	919	60353
15	990	60889
16	1053	60901
17	1119	61053
18	1188	61360
19	1263	61918
20	1341	62523
21	1410	62698
22	1466	62301
23	1530	62254
24	1586	61874
25	1640	61447
26	1692	60992
27	1765	61301
28	1822	61017
29	1882	60876
30	1947	60883
31	2015	60971
32	2072	60729
33	2135	60661
34	2195	60544
35	2250	60262
36	2317	60313
37	2380	60262
38	2439	60123
39	2497	59939
40	2554	59753
41	2616	59672
42	2676	59574
43	2742	59592
44	2801	59450
45	2871	59552
46	2930	59429
47	3010	59709
48	3088	59950
49	3153	59911
50	3233	60176
51	3312	60395
52	3391	60607
53	3464	60687
54	3527	60613
55	3606	60796
56	3686	60983
57	3767	61182
58	3841	61273
59	3920	61422
60	3985	61354
61	4032	61001
62	4091	60859
63	4163	60889
64	4217	60669
65	4275	60508
66	4332	60330
67	4393	60223
68	4455	60115
69	4515	59996
70	4576	59882
71	4640	59817
72	4699	59682
73	4759	59560
74	4822	59477
75	4882	59355
76	4944	59264
77	4986	58939
78	5045	58817
79	5100	58656
80	5159	58533
81	5220	58446
82	5282	58360
83	5343	58274
84	5405	58184
85	5469	58132
86	5533	58072
87	5586	57891
88	5645	57783
89	5702	57654
90	5767	57614
91	5825	57495
92	5881	57361
93	5950	57353
94	6000	57166
95	6078	57240
96	6132	57089
97	6192	56994
98	6259	56969
99	6326	56942
100	6383	56821
101	6439	56691
102	6495	56566
103	6552	56453
104	6621	56436
105	6679	56335
106	6739	56247
107	6802	56182
108	6861	56091
109	6921	56002
110	6981	55912
111	7041	55827
112	7101	55742
113	7160	55648
114	7215	55529
115	7274	55436
116	7340	55400
117	7407	55366
118	7467	55288
119	7528	55211
120	7585	55101
121	7644	55015
122	7702	54918
123	7761	54829
124	7822	54758
125	7884	54688
126	7943	54605
127	8004	54527
128	8061	54429
129	8123	54365
130	8184	54290
131	8258	54305
132	8308	54162
133	8351	53975
134	8407	53873
135	8465	53777
136	8528	53724
137	8589	53655
138	8652	53592
139	8709	53501
140	8768	53421
141	8827	53338
142	8885	53249
143	8950	53205
144	9019	53185
145	9094	53196
146	9156	53131
147	9226	53117
148	9290	53064
149	9357	53024
150	9419	52960
151	9482	52900
152	9553	52889
153	9622	52863
154	9689	52824
155	9772	52870
156	9845	52866
157	9909	52806
158	9976	52768
159	10046	52742
160	10108	52677
161	10174	52630
162	10244	52605
163	10315	52582
164	10383	52544
165	10431	52406
166	10487	52312
167	10537	52186
168	10602	52133
169	10661	52054
170	10721	51979
171	10774	51866
172	10835	51799
173	10891	51705
174	10949	51619
175	11010	51547
176	11077	51507
177	11136	51426
178	11196	51352
179	11257	51284
180	11317	51210
181	11374	51124
182	11439	51071
183	11494	50976
184	11551	50889
185	11607	50799
186	11667	50725
187	11742	50719
188	11802	50645
189	11864	50581
190	11926	50516
191	11991	50464
192	12043	50358
193	12102	50282
194	12168	50235
195	12231	50172
196	12289	50094
197	12346	50010
198	12412	49963
199	12485	49940
200	12552	49897
201	12625	49875
202	12688	49816
203	12748	49743
204	12806	49663
205	12867	49594
206	12931	49538
207	12993	49476
208	13071	49472
209	13139	49429
210	13213	49411
211	13286	49384
212	13364	49379
